fips, No Preference, Uncommitted,Ben Carson,Bernie Sanders,Carly Fiorina,Chris Christie,Donald Trump,Hillary Clinton,Jeb Bush,John Kasich,Marco Rubio,Martin O'Malley,Mike Huckabee,Rand Paul,Rick Santorum,Ted Cruz,votes,fips,Bernie Sanders prop,Hillary Clinton prop,Ben Carson prop,Donald Trump prop,John Kasich prop,Marco Rubio prop,Ted Cruz prop, Uncommitted prop,Martin O'Malley prop,Carly Fiorina prop,Chris Christie prop,Jeb Bush prop,Mike Huckabee prop,Rand Paul prop,Rick Santorum prop, No Preference prop
1001.0,0,0,1764,544,0,0,5387,2387,0,421,1785,0,0,0,0,2482,14770,1001.0,0.03683141503046716,0.16161137440758294,0.11943127962085308,0.3647257955314827,0.02850372376438727,0.12085308056872038,0.16804333107650643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1003.0,0,0,4221,2694,0,0,23618,5290,0,2987,9703,0,0,0,0,8571,57084,1003.0,0.04719360941770023,0.092670450564081,0.07394366197183098,0.4137411533879896,0.052326396188073714,0.16997757690421134,0.1501471515661131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1005.0,0,0,417,222,0,0,1710,2567,0,123,498,0,0,0,0,609,6146,1005.0,0.036121054344288965,0.41767002928734137,0.0678490074845428,0.27822974292222585,0.020013016596160105,0.08102831109664822,0.09908883826879271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1007.0,0,0,393,246,0,0,1959,942,0,84,444,0,0,0,0,1011,5079,1007.0,0.04843473124630833,0.1854695806261075,0.07737743650324867,0.3857058476077968,0.016538688718251624,0.0874187832250443,0.19905493207324276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1009.0,0,0,1523,395,0,0,7390,564,0,337,1843,0,0,0,0,3698,15750,1009.0,0.02507936507936508,0.03580952380952381,0.0966984126984127,0.4692063492063492,0.021396825396825397,0.11701587301587302,0.2347936507936508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1011.0,0,0,47,178,0,0,313,2451,0,23,64,0,0,0,0,94,3170,1011.0,0.05615141955835962,0.773186119873817,0.014826498422712935,0.09873817034700315,0.007255520504731861,0.02018927444794953,0.02965299684542587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1013.0,0,0,377,156,0,0,1720,2196,0,86,427,0,0,0,0,534,5496,1013.0,0.028384279475982533,0.39956331877729256,0.06859534206695779,0.3129548762736536,0.01564774381368268,0.07769286754002912,0.09716157205240175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1015.0,0,0,2350,1425,0,0,8960,5011,0,957,3251,0,0,0,0,3859,25813,1015.0,0.05520474179676907,0.1941269902762174,0.09103939875256653,0.34711192035021116,0.03707434238561965,0.12594429163599735,0.14949831480261883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1017.0,0,0,595,312,0,0,2169,2899,0,168,595,0,0,0,0,914,7652,1017.0,0.04077365394668061,0.37885520125457395,0.07775744903293257,0.2834553058024046,0.02195504443282802,0.07775744903293257,0.11944589649764767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1019.0,0,0,534,268,0,0,2777,712,0,151,810,0,0,0,0,921,6173,1019.0,0.04341487121334845,0.11534100113397051,0.08650575085047789,0.4498623035801069,0.02446136400453588,0.13121658836870242,0.14919812084885792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021.0,0,0,1149,289,0,0,5273,860,0,218,1436,0,0,0,0,2328,11553,1021.0,0.025015147580714967,0.07443953951354626,0.09945468709426124,0.4564182463429412,0.018869557690643125,0.12429671946680516,0.20150610231108804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023.0,0,0,169,273,0,0,1070,1772,0,68,315,0,0,0,0,451,4118,1023.0,0.06629431762991743,0.4303059737736765,0.04103933948518698,0.259834871296746,0.01651287032540068,0.0764934434191355,0.10951918406993687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025.0,0,0,410,213,0,0,2308,3148,0,125,805,0,0,0,0,886,7895,1025.0,0.026979100696643447,0.3987333755541482,0.051931602279924,0.2923369221025966,0.015832805573147563,0.1019632678910703,0.11222292590246992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027.0,0,0,492,135,0,0,1920,807,0,125,505,0,0,0,0,836,4820,1027.0,0.028008298755186723,0.16742738589211617,0.1020746887966805,0.3983402489626556,0.025933609958506226,0.10477178423236515,0.17344398340248962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029.0,0,0,437,72,0,0,2120,221,0,106,598,0,0,0,0,928,4482,1029.0,0.01606425702811245,0.04930834448906738,0.09750111557340473,0.47300312360553326,0.023650156180276664,0.13342257920571174,0.2070504239178938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1031.0,0,0,1368,389,0,0,4304,1493,0,377,1608,0,0,0,0,2421,11960,1031.0,0.03252508361204014,0.12483277591973244,0.11438127090301003,0.35986622073578595,0.03152173913043478,0.13444816053511705,0.2024247491638796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1033.0,0,0,884,1342,0,0,3858,3879,0,250,1443,0,0,0,0,1601,13257,1033.0,0.10122953911141284,0.2926001357773252,0.06668175303613186,0.2910160669834804,0.01885796183148525,0.10884815569133288,0.12076638756883155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1035.0,0,0,137,544,0,0,768,2031,0,17,141,0,0,0,0,208,3846,1035.0,0.14144565782631305,0.5280811232449298,0.03562142485699428,0.1996879875195008,0.004420176807072283,0.036661466458658344,0.05408216328653146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1037.0,0,0,201,125,0,0,1233,1012,0,66,241,0,0,0,0,435,3313,1037.0,0.03773015393902807,0.30546332629037126,0.06067008753395714,0.3721702384545729,0.01992152127980682,0.07274373679444612,0.1313009357078177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1039.0,0,0,1275,188,0,0,4608,737,0,324,1277,0,0,0,0,1773,10182,1039.0,0.0184639560007857,0.07238263602435671,0.1252209781968179,0.4525633470830878,0.03182086034177961,0.12541740326065606,0.1741308190925162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1041.0,0,0,286,107,0,0,1496,908,0,70,250,0,0,0,0,602,3719,1041.0,0.02877117504705566,0.2441516536703415,0.07690239311642914,0.4022586716859371,0.018822264049475665,0.06722237160527024,0.16187147082549072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1043.0,0,0,2301,723,0,0,10618,1275,0,558,2832,0,0,0,0,4248,22555,1043.0,0.03205497672356462,0.0565284859232986,0.10201729106628242,0.4707603635557526,0.024739525604078917,0.12555974285080912,0.1883396142762137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1045.0,0,0,1150,415,0,0,4151,1544,0,333,1194,0,0,0,0,2008,10795,1045.0,0.03844372394627142,0.1430291801760074,0.10653080129689671,0.38452987494210283,0.030847614636405743,0.11060676238999537,0.18601204261232052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1047.0,0,0,46,1774,0,0,523,8577,0,23,76,0,0,0,0,181,11200,1047.0,0.15839285714285714,0.7658035714285715,0.004107142857142857,0.04669642857142857,0.0020535714285714285,0.0067857142857142855,0.016160714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1049.0,0,0,1285,667,0,0,6247,1297,0,325,2837,0,0,0,0,2153,14811,1049.0,0.045034096279792046,0.08757004928769158,0.08675984065896969,0.42178110863547363,0.021943150361218012,0.19154682330700154,0.1453649314698535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
