Retailer country,Revenue,Planned revenue,Gross profit
Australia,25607043.500000022,27032910.21000001,10359493.620000001
Austria,34568089.629999995,35994582.76000003,14141158.819999993
Belgium,30396297.489999995,32001318.480000004,12317659.350000003
Brazil,34234876.300000004,35916138.59,13836254.380000003
Canada,75428386.09000006,78692359.03000005,30460355.159999993
China,79080487.79999997,83257534.25999999,31917444.53000002
Denmark,15893266.559999995,16482297.749999996,6434056.48
Finland,47826647.400000006,50452996.91000005,19247523.4
France,72237824.98999998,75721495.47999999,29271502.239999995
Germany,65238045.32999997,68467437.24,26444369.47999999
Italy,46135925.14999997,48502247.229999974,18786012.31999997
Japan,86340229.65999998,90610934.35000002,35019884.230000004
Korea,50844973.03,54049851.82,20497260.330000002
Mexico,42363571.97,45014505.239999995,17024802.789999988
Netherlands,44421659.64000002,46775111.180000044,17922500.799999986
Singapore,48204222.87999998,51102845.34000002,19288774.959999997
Spain,39237620.11000001,41297912.20000001,16028886.79
Sweden,23966997.15,25066249.87,9633167.679999998
Switzerland,26286562.369999975,27416936.919999994,10677164.2
United Kingdom,69420603.5700001,72912967.74999999,27986484.939999998
United States,201462259.54000008,211408833.91000003,81388935.15000007
