Retailer country,Revenue,Planned revenue,Gross profit
Australia,47799737.13999998,50346078.859999985,19804110.31
Austria,44996737.04,46748631.140000015,18875577.94999999
Belgium,38375432.67999999,40026308.86000001,16023027.189999988
Brazil,43389953.660000004,45151584.06,18077344.339999996
Canada,98134069.38999997,101900270.63999999,40957707.72000002
China,99109351.66999994,103735732.83999996,41123105.930000044
Denmark,20050465.71,20761695.340000004,8241193.510000001
Finland,59648620.03000001,62523653.26000001,24907544.369999997
France,83075921.12000006,86413808.75999998,34589049.330000006
Germany,78113786.53999999,81536929.50000004,32549552.600000024
Italy,61869049.400000006,64718855.520000026,25853629.98000002
Japan,112137014.79999997,116617935.73000002,46822554.72000002
Korea,60714213.16,63878452.84,25139873.63
Mexico,58604264.709999986,61848335.709999986,24325612.389999997
Netherlands,58301767.94999999,60991290.44000001,24398768.95000002
Singapore,60942902.91999998,63722641.93999998,25303652.96999999
Spain,55846232.97,58387546.20999997,23310563.68
Sweden,30360527.049999993,31513731.859999996,12773592.409999993
Switzerland,41463606.43999998,43015022.06000001,17368350.440000005
United Kingdom,84920825.67000005,88474320.44000003,35419015.62999998
United States,258036620.85000008,268426053.82999995,107396744.41999999
